date,IC,TimingIC,top_5%_return,bottom_5%_return,top_10%_return,bottom_10%_return,top_15%_return,bottom_15%_return,top_20%_return,bottom_20%_return,top_25%_return,bottom_25%_return,top_30%_return,bottom_30%_return,top_20%_selection_rank_efficiency,top_20%_return_capture_rank_efficiency
2021-08-24,0.03519142160419714,0.0719791791444579,0.00021269976910382127,0.03928113141214113,0.005458571561102694,0.012978812368105259,0.005575031116212161,0.012981581689168815,0.009250178962648594,0.011770440713958046,0.011153813119610433,0.00782180526957216,0.01294307860903764,0.008947699151077524,0.1985062893081761,0.18840471571407252
2021-08-25,-0.1181453942358384,-0.0440968150309156,0.007954995979703275,0.06441756944143372,0.015746343457725517,0.07447743198184426,0.014545333134970365,0.06343004844745456,0.01768390927429071,0.0595462478206132,0.01906418665858271,0.05610267322612488,0.021239980886598748,0.04881684829703012,0.18731552259138726,0.16570146955444717
2021-08-26,-0.11886047616593501,-0.08077442393289598,0.005090660016197437,0.02329745266831166,-0.0032583939536879438,0.04366435215826204,0.002532056169942901,0.04257264301648676,0.00836647304779294,0.036312906183918046,0.010236372096900917,0.0369635915702434,0.01284901228175379,0.03888552443219163,0.17741085543650095,0.17508580938182575
2021-08-27,0.10094543190315035,0.18605474343438397,0.04375653163719764,-0.002354455470277581,0.03559400512940587,0.0013972982768900887,0.035247054786692926,0.014748847935038579,0.034391500664171744,0.018272894238785656,0.03228657613346433,0.016990112990383714,0.03141773627692689,0.021286033582673496,0.20582840839616873,0.1932644469957903
2021-08-30,0.03513591145002442,0.1381889576635139,0.040480093854600364,0.046662354466164555,0.04667354396249079,0.03980325046677988,0.043258460584166304,0.04097644822523687,0.04053515686645311,0.04227524218646682,0.045144937302781955,0.04269327545776606,0.04372228736208742,0.045397349207206394,0.20161290322580644,0.1836497199796349
2021-08-31,-0.1468787045474708,0.05363144026591142,0.0284852918849452,0.07505845688648187,0.0461284256412781,0.07713710427770211,0.04520572460498476,0.07626028610185083,0.04396183637932158,0.07358109452313488,0.04458493379637011,0.07379845914691671,0.044663070669780564,0.07205842150575151,0.18524632258537838,0.16052639944054165
2021-09-01,-0.03845205019594957,0.05933674797322257,0.06267801629209899,0.04593234919386985,0.04710619258630754,0.04610030451589699,0.047504485047911785,0.046151697413734746,0.047113592081427916,0.050324136946484854,0.04564012966856123,0.049302318105490614,0.04400491407508671,0.0523847169786879,0.19578196479801505,0.1830705093347834
2021-09-02,-0.04381689769776568,0.05532297042812776,0.028814847369661365,0.031484632687960354,0.04152587922569831,0.03277829226391329,0.036578209578682366,0.049702290185678184,0.040654689826193954,0.0569092806551455,0.04422412414841948,0.052741818307361354,0.043478267263888426,0.05285094499561243,0.19184743380313793,0.18574371046049729
2021-09-03,0.033742878654695344,0.08220843651586175,0.01676933750034102,0.015116515363131487,0.0238275028715096,0.026988951384790124,0.03023991847210572,0.038709107740367434,0.03571680697139859,0.03679435404996723,0.04324255381335128,0.04238277242390665,0.0420735690648867,0.03937023521573455,0.1973812780926324,0.19299854773370023
2021-09-06,0.05981700678608829,0.05224480661402846,0.028699251030478035,-0.012206140463771957,0.02812939295117328,-0.002323934159210772,0.01692816933243205,0.0027878655707254,0.012159952531788958,0.00046540849206165856,0.012207898361601816,0.0028488481923390524,0.009650776763673034,0.0024496712037260634,0.20464400048628278,0.19003537292090011
2021-09-07,0.015145217340657564,-0.02138065693031147,0.02127868579101568,0.008517981433171763,0.0051307209157205325,0.0004869261154204496,0.0009329082529557597,-0.002422658217394512,0.005427277781446661,0.0044551112022096105,0.003906605341406221,0.005572782470623947,5.077779052762595e-05,0.009532309403066581,0.2078788128267402,0.16942897403207408
2021-09-08,0.11630921152170404,-0.04916387088648487,-0.0006419151622981634,-0.009959630504369236,-0.01419934545042061,-0.016797078694775324,-0.014829040664698935,-0.026411686709845242,-0.014675060009347127,-0.027745955756525567,-0.013587885147197795,-0.030542889039411648,-0.015852032248272793,-0.02674202758920499,0.2238971403236533,0.18912441015654258
2021-09-09,0.14606753119905289,-0.037889358553236135,0.01511851644419878,-0.031606409686887035,0.0008461515027781031,-0.03817709914598426,-0.006564599110706992,-0.033762541881578095,-0.01302462094900207,-0.0326227370999843,-0.012738809832954197,-0.03172699377347556,-0.014606474503076405,-0.027733195754154224,0.2277339346110485,0.19462750992407601
2021-09-10,0.12382708906855548,-0.07457071958528813,0.0034466733441280485,-0.03892829473749453,-0.007122918410123069,-0.017864972382932907,-0.007432622916441905,-0.024534147734348172,-0.011337087044918915,-0.03033065761000713,-0.014870121648048754,-0.03304327378191049,-0.020487887246498263,-0.03200794618949837,0.23592618547068442,0.18272605565003439
2021-09-13,0.14749362160557383,0.1499693840470823,0.03330530656110137,-0.021826993318909364,0.013731772707788399,0.0008372308015915797,0.009445757388905624,0.006600742014315285,0.007919520144723717,0.007536599528056367,0.008997492994370835,-3.976482353414923e-05,0.009231554874432562,-0.003018555795169308,0.22343155472966994,0.1845557870116581
2021-09-14,0.27075133982121186,0.15465164420425895,0.03006350478984457,-0.062194448599398114,0.01364291886274098,-0.04818562339657512,0.005521129856309584,-0.04845359196903509,0.0032113391689530934,-0.04768921347303146,-0.00281742391554517,-0.04436288634975563,-0.00014704235467617277,-0.04276750286418084,0.2504215015372409,0.21036407564775472
